"","email","pronoun","postcode","previous_attendance","find_out_event","age_under_5","age_5_to_10","age_11_to_20","age_21_to_30","age_31_to_50","age_51_to_70","age_over_71","age","invested_environmental_impact","age_group","location","year"
"47",NA,NA,"2312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_31_to_50","Bondi(Dummy) Junction","2021"
"48",NA,NA,"2312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_31_to_50","Bondi(Dummy) Junction","2021"
"49",NA,NA,"1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_51_to_70","Bondi(Dummy) Junction","2021"
"50",NA,NA,"1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_51_to_70","Bondi(Dummy) Junction","2021"
"51",NA,NA,"1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_51_to_70","Bondi(Dummy) Junction","2021"
"52",NA,NA,"2312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_over_71","Bondi(Dummy) Junction","2021"
"53",NA,NA,"2312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_over_71","Bondi(Dummy) Junction","2021"
"54",NA,NA,"2312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_over_71","Bondi(Dummy) Junction","2021"
"55",NA,NA,"2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_over_71","Bondi(Dummy) Junction","2021"
"56",NA,NA,"1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_over_71","Bondi(Dummy) Junction","2021"
"57",NA,NA,"1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_over_71","Bondi(Dummy) Junction","2021"
"58",NA,NA,"2127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_over_71","Bondi(Dummy) Junction","2021"
